Index	ID
691	Sample658.1_1R04C01
692	Sample711.1_12R01C01
693	SampleY-70.1_4R01C01
694	Sample657.1_27R06C01
695	Samplec131.1_18R08C01
696	SampleY-69.1_27R03C01
697	SampleY-48.1_27R04C01
698	Sample715.1_10R07C01
699	SampleY-29.1_15R05C01
700	SampleY-19.1_15R01C01
701	SampleY-50.1_14R02C01
702	Samplec129.1_18R07C01
703	Sample738.1_27R07C01
705	SampleY-39.1_14R06C01
707	SampleY-26.1_15R03C01
708	SampleY-36.1_15R02C01
710	SampleY-34.1_17R06C01
711	Sample668.1_14R05C01
712	Sample720.1_29R01C01
714	Sample423.1_28R04C01
715	Samplec6.1_7R08C01
717	Sample713.1_25R03C01
718	Sample697.1_24R05C01
719	SampleY-31.1_17R03C01
720	Sample400.1_9R01C01
721	SampleY-18.1_17R07C01
722	Sample669.1_21R02C01
723	Samplec128.1_18R06C01
724	Sample705.1_19R06C01
725	SampleY-47.1_4R04C01
726	SampleY-61.1_23R08C01
727	Samplec77.1_9R08C01
728	SampleY-72.1_23R05C01
729	Sample686.1_9R03C01
730	Samplec125.1_18R04C01
731	Sample650.1_6R08C01
732	SampleY-56.1_6R07C01
733	Samplec109.1_20R04C01
734	Sample676.1_21R07C01
735	Samplec107.1_20R02C01
736	Sample27.1_14R03C01
737	SampleY-43.1_6R02C01
738	SampleY-46.1_3R07C01
739	SampleY-33.1_3R01C01
741	SampleY-37.1_11R02C01
742	SampleY-45.1_3R04C01
743	Sample633.1_14R04C01
744	Samplec105.1_26R03C01
745	SampleY-44.1_25R08C01
746	SampleY-32.1_6R06C01
747	SampleY-59.1_28R08C01
748	SampleY-55.1_6R03C01
749	SampleY-52.1_21R04C01
750	Sample662.1_27R02C01
751	Samplec94.1_12R03C01
752	Sample694.1_19R07C01
753	SampleY-49.1_11R03C01
754	Samplec101.1_16R07C01
755	Samplec82.1_16R05C01
756	Samplec122.1_8R03C01
757	Sample682.1_15R06C01
758	Samplec119.1_18R02C01
759	Sample315.1_21R06C01
760	Sample723.1_26R04C01
761	SampleY-38.1_11R06C01
762	Samplec112.1_20R07C01
763	Sample665.1_4R07C01
764	Samplec132.1_17R01C01
765	SampleY-62.1_11R07C01
766	SampleY-63.1_14R08C01
767	Sample733.1_29R03C01
768	SampleY-53.1_21R08C01
769	Sample700.1_24R08C01
770	Samplec123.1_8R04C01
771	Samplec117.1_8R01C01
772	Sample751.1_10R04C01
773	Sample655.1_27R05C01
774	Sample722.1_29R07C01
775	Sample726.1_10R03C01
776	SampleY-17.1_17R05C01
777	Sample710.1_29R06C01
778	Samplec4.1_29R05C01
779	Samplec113.1_20R08C01
780	Samplec130.1_8R07C01
781	Samplec92.1_7R06C01
782	Sample664.1_4R03C01
783	Samplec133.1_17R02C01
784	SampleY-73.1_14R01C01
785	Sample653.1_4R06C01
786	Sample652.1_4R02C01
787	Sample725.1_9R05C01
788	Samplec98.1_27R08C01
789	Sample699.1_25R06C01
790	Sample660.1_9R02C01
791	Sample328.1_13R02C01
792	SampleY-66.1_13R04C01
793	Sample744.1_24R02C01
794	Samplec95.1_12R06C01
796	SampleY-60.1_23R04C01
797	Sample732.1_24R04C01
798	Sample756.1_2R07C01
799	Sample721.1_24R06C01
800	Samplec104.1_24R07C01
801	SampleY-65.1_13R01C01
802	Samplec108.1_20R03C01
803	Sample701.1_9R04C01
804	Sample696.1_25R05C01
805	Sample702.1_19R02C01
806	Sample659.1_13R03C01
807	Samplec110.1_20R05C01
808	SampleY-16.1_17R04C01
809	Sample707.1_25R04C01
810	Sample714.1_10R02C01
811	Sample663.1_3R06C01
812	Sample691.1_19R03C01
813	Samplec127.1_18R05C01
814	Samplec114.1_25R07C01
815	Sample611.1_4R05C01
816	Sample745.1_7R02C01
817	Sample750.1_9R07C01
818	Sample666.1_23R07C01
819	Sample649.1_28R02C01
820	Sample737.1_9R06C01
821	Sample626.1_11R04C01
822	Sample703.1_19R04C01
823	Samplec134.1_30R03C01
824	Samplec96.1_10R01C01
825	SampleY-24.1_11R01C01
826	Sample651.1_3R05C01
827	SampleY-9.1_6R05C01
828	Sample654.1_23R06C01
829	Sample661.1_28R03C01
830	Sample741.1_16R04C01
831	SampleY-57.1_28R05C01
833	Samplec116.1_12R08C01
834	Sample549.1_28R07C01
835	Samplec86.1_16R06C01
837	SampleY-6.1_6R01C01
838	Sample693.1_19R05C01
839	SampleY-67.1_6R04C01
840	Sample731.1_16R08C01
841	Sample735.1_12R02C01
842	Samplec118.1_18R01C01
843	Sample667.1_11R05C01
844	Samplec111.1_20R06C01
845	Sample729.1_16R03C01
846	Samplec120.1_18R03C01
847	Samplec100.1_2R01C01
848	Sample459.1_28R06C01
849	Sample734.1_29R08C01
850	Sample757.1_29R02C01
851	Samplec124.1_8R05C01
852	Sample746.1_29R04C01
853	Sample712.1_26R08C01
854	Samplec106.1_26R07C01
855	Sample718.1_2R02C01
856	Samplec16.1_26R06C01
857	Samplec103.1_7R04C01
858	Sample704.1_13R08C01
859	Sample730.1_2R03C01
860	Sample724.1_12R04C01
861	Sample748.1_26R05C01
862	Samplec126.1_8R06C01
863	Sample742.1_2R04C01
864	Samplec91.1_7R03C01
865	Sample755.1_2R05C01
866	Sample709.1_7R05C01
867	Sample698.1_7R07C01
868	Samplec76.1_12R05C01
869	Samplec115.1_12R07C01
870	Sample683.1_13R06C01
871	Sample646.1_13R05C01
872	Sample719.1_2R06C01
873	Sample739.1_13R07C01
